
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1264
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:808            0.0.0.0:0              LISTENING       5536
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       7036
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       6996
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       9340
  TCP    0.0.0.0:22331          0.0.0.0:0              LISTENING       22060
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       21476
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       7036
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1000
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       900
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1632
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2116
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       5268
  TCP    0.0.0.0:49676          0.0.0.0:0              LISTENING       972
  TCP    0.0.0.0:54360          0.0.0.0:0              LISTENING       22060
  TCP    127.0.0.1:10000        0.0.0.0:0              LISTENING       26344
  TCP    127.0.0.1:14013        0.0.0.0:0              LISTENING       15900
  TCP    127.0.0.1:14016        0.0.0.0:0              LISTENING       15900
  TCP    127.0.0.1:14019        0.0.0.0:0              LISTENING       15900
  TCP    127.0.0.1:14022        0.0.0.0:0              LISTENING       15900
  TCP    127.0.0.1:14023        0.0.0.0:0              LISTENING       15900
  TCP    127.0.0.1:18488        0.0.0.0:0              LISTENING       17124
  TCP    127.0.0.1:18789        0.0.0.0:0              LISTENING       5696
  TCP    127.0.0.1:20240        0.0.0.0:0              LISTENING       11008
  TCP    127.0.0.1:28385        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:28390        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:35783        0.0.0.0:0              LISTENING       1596
  TCP    127.0.0.1:39099        0.0.0.0:0              LISTENING       29692
  TCP    127.0.0.1:49671        127.0.0.1:49672        ESTABLISHED     7036
  TCP    127.0.0.1:49672        127.0.0.1:49671        ESTABLISHED     7036
  TCP    127.0.0.1:49673        127.0.0.1:49674        ESTABLISHED     7036
  TCP    127.0.0.1:49674        127.0.0.1:49673        ESTABLISHED     7036
  TCP    127.0.0.1:52027        0.0.0.0:0              LISTENING       21476
  TCP    127.0.0.1:52027        127.0.0.1:55986        ESTABLISHED     21476
  TCP    127.0.0.1:52032        0.0.0.0:0              LISTENING       21476
  TCP    127.0.0.1:52032        127.0.0.1:55985        ESTABLISHED     21476
  TCP    127.0.0.1:53976        0.0.0.0:0              LISTENING       39932
  TCP    127.0.0.1:53989        0.0.0.0:0              LISTENING       39932
  TCP    127.0.0.1:54338        0.0.0.0:0              LISTENING       25376
  TCP    127.0.0.1:54338        127.0.0.1:54381        ESTABLISHED     25376
  TCP    127.0.0.1:54338        127.0.0.1:54383        ESTABLISHED     25376
  TCP    127.0.0.1:54338        127.0.0.1:54473        ESTABLISHED     25376
  TCP    127.0.0.1:54344        127.0.0.1:60156        ESTABLISHED     25376
  TCP    127.0.0.1:54381        127.0.0.1:54338        ESTABLISHED     39932
  TCP    127.0.0.1:54383        127.0.0.1:54338        ESTABLISHED     25376
  TCP    127.0.0.1:54473        127.0.0.1:54338        ESTABLISHED     39932
  TCP    127.0.0.1:54475        0.0.0.0:0              LISTENING       27044
  TCP    127.0.0.1:55721        0.0.0.0:0              LISTENING       24304
  TCP    127.0.0.1:55812        127.0.0.1:60156        ESTABLISHED     26788
  TCP    127.0.0.1:55818        0.0.0.0:0              LISTENING       26788
  TCP    127.0.0.1:55818        127.0.0.1:55853        ESTABLISHED     26788
  TCP    127.0.0.1:55853        127.0.0.1:55818        ESTABLISHED     39932
  TCP    127.0.0.1:55985        127.0.0.1:52032        ESTABLISHED     18416
  TCP    127.0.0.1:55986        127.0.0.1:52027        ESTABLISHED     18416
  TCP    127.0.0.1:59361        127.0.0.1:60156        TIME_WAIT       0
  TCP    127.0.0.1:59367        127.0.0.1:60156        TIME_WAIT       0
  TCP    127.0.0.1:59379        127.0.0.1:60156        TIME_WAIT       0
  TCP    127.0.0.1:59384        127.0.0.1:60156        TIME_WAIT       0
  TCP    127.0.0.1:59409        127.0.0.1:60156        TIME_WAIT       0
  TCP    127.0.0.1:60118        0.0.0.0:0              LISTENING       27256
  TCP    127.0.0.1:60156        0.0.0.0:0              LISTENING       39932
  TCP    127.0.0.1:60156        127.0.0.1:54344        ESTABLISHED     39932
  TCP    127.0.0.1:60156        127.0.0.1:55812        ESTABLISHED     39932
  TCP    172.20.32.1:139        0.0.0.0:0              LISTENING       4
  TCP    172.21.83.116:139      0.0.0.0:0              LISTENING       4
  TCP    172.21.83.116:50950    4.145.79.82:443        ESTABLISHED     5240
  TCP    172.21.83.116:53633    222.192.186.171:443    ESTABLISHED     3116
  TCP    172.21.83.116:53658    48.210.190.78:443      ESTABLISHED     20964
  TCP    172.21.83.116:53671    117.190.80.35:443      ESTABLISHED     15900
  TCP    172.21.83.116:54072    221.204.163.66:443     ESTABLISHED     39932
  TCP    172.21.83.116:54255    43.141.70.102:443      ESTABLISHED     27580
  TCP    172.21.83.116:54464    27.222.0.166:7826      ESTABLISHED     11692
  TCP    172.21.83.116:55125    27.222.0.164:7826      ESTABLISHED     11692
  TCP    172.21.83.116:55130    101.91.134.222:443     ESTABLISHED     11692
  TCP    172.21.83.116:55706    103.28.54.102:27020    ESTABLISHED     21476
  TCP    172.21.83.116:58389    43.156.86.223:443      ESTABLISHED     26788
  TCP    172.21.83.116:58686    43.141.49.159:443      ESTABLISHED     25376
  TCP    172.21.83.116:58689    43.141.49.159:443      ESTABLISHED     25376
  TCP    172.21.83.116:58690    43.141.49.159:443      ESTABLISHED     25376
  TCP    172.21.83.116:58758    43.156.86.196:443      ESTABLISHED     27256
  TCP    172.21.83.116:58764    43.156.86.196:443      ESTABLISHED     25376
  TCP    172.21.83.116:58889    104.18.124.108:443     ESTABLISHED     39840
  TCP    172.21.83.116:58890    104.18.124.108:443     TIME_WAIT       0
  TCP    172.21.83.116:58949    100.60.139.199:443     CLOSE_WAIT      39840
  TCP    172.21.83.116:59033    123.6.122.178:443      CLOSE_WAIT      20964
  TCP    172.21.83.116:59079    43.141.49.159:443      ESTABLISHED     20964
  TCP    172.21.83.116:59115    220.181.174.38:443     TIME_WAIT       0
  TCP    172.21.83.116:59116    220.181.174.37:443     TIME_WAIT       0
  TCP    172.21.83.116:59188    114.250.66.41:443      TIME_WAIT       0
  TCP    172.21.83.116:59328    182.50.15.221:443      TIME_WAIT       0
  TCP    172.21.83.116:59330    57.155.141.116:443     TIME_WAIT       0
  TCP    172.21.83.116:59331    57.155.141.116:443     TIME_WAIT       0
  TCP    172.21.83.116:59365    43.141.70.102:443      TIME_WAIT       0
